supplier;supplier_sku;product_code;name;description;category;brand;purchase_price_without_vat;vat_rate;unit;source_url;availability_note;metadata_json
Krannich Solar;1752658;1752658;AXIstorage Li SV2 10.1kWh;Kompletní baterie 10,65 kWh;Baterie;AXITEC;55618.83;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-10.1kWh/1752658;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""55 618,83 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""10.10""},""image_url"":""https://cdn.shop.krannich-solar.com/media/48/99/90/1773849185/1752658_0_c_a_0_0ca0bae7f21b412c8dcb5bbd15cf1e745c057797_det_sb_ac_axistorage_li_sv2_10.1.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1752659;1752659;AXIstorage Li SV2 13.5kWh;Kompletní baterie 14,20 kWh;Baterie;AXITEC;70554.9;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-13.5kWh/1752659;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""70 554,90 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""13.50""},""image_url"":""https://cdn.shop.krannich-solar.com/media/52/eb/be/1773849186/1752659_e_a_f_0_eaf038e165cf0882816074c4ebd5006154a85a5c_det_sb_ac_axistorage_li_sv2_13.5.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1756581;1756581;AXIstorage Li SV2 16.9 kWh;Kompletní baterie 17,76 kWh;Baterie;AXITEC;85490.96;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-16.9-kWh/1756581;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""85 490,96 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""16.90""},""image_url"":""https://cdn.shop.krannich-solar.com/media/f8/22/91/1773849182/1756581_e_a_f_0_eaf038e165cf0882816074c4ebd5006154a85a5c_det_sb_ac_axistorage_li_sv2_13.5.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1752657;1752657;AXIstorage Li SV2 6.7kWh;Kompletní baterie 7,10 kWh;Baterie;AXITEC;40682.77;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-6.7kWh/1752657;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""40 682,77 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""6.70""},""image_url"":""https://cdn.shop.krannich-solar.com/media/bb/79/1c/1773847538/1752657_4_8_d_5_48d50def9af9ce5e86b1ac4dcfb2a3df597ce041_det_sb_ac_axistorage_li_sv2_6.7.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1752359;1752359;AXIstorage Li SV2 BMS;BMS jednotka pro baterie AXIstorage Li SV2;Baterie;AXITEC;10920.02;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-BMS/1752359;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""10 920,02 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{},""image_url"":""https://cdn.shop.krannich-solar.com/media/5c/af/ec/1773847538/1752359_9_1_3_0_91300e54ebd971465defc2bd3b205f39b093b1e4_det_sba_ac_li_sv2_battery_management_system.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1750761;1750761;AXIstorage Li SV2 Modul;Bateriový modul pro baterie AXIstorage Li SV2;Baterie;AXITEC;15086.9;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV2-Modul/1750761;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""15 086,90 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""3.37""},""image_url"":""https://cdn.shop.krannich-solar.com/media/99/c9/c9/1773847538/1750761_2_e_d_9_2ed93c2feb5feb1fab062836991d1befcd347719_det_sb_ac_li_sv2__3.37_kwh_.jpg.jpg?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.949Z""}"
Krannich Solar;1762036;1762036;AXIstorage Li SV3 14.6;Kompletní baterie 15,36 kWh;Baterie;AXITEC;71550.12;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV3-14.6/1762036;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""71 550,12 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""14.60""},""image_url"":""https://cdn.shop.krannich-solar.com/media/7b/ac/41/1773847536/1762036_5_e_0_6_5e0625d2e64c4aa4bef62df5a9311594509eef3f_det_sb_ac_axistorage_li_sv3_14.6.png.png?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.948Z""}"
Krannich Solar;1762037;1762037;AXIstorage Li SV3 19.4;Kompletní baterie 20,48 kWh;Baterie;AXITEC;91606.81;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV3-19.4/1762037;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""91 606,81 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""19.40""},""image_url"":""https://cdn.shop.krannich-solar.com/media/c9/7e/97/1773847536/1762037_5_8_d_f_58dfce0f934d2391f18e37e0e9d08db84bad4aee_det_sb_ac_axistorage_li_sv3_19.4.png.png?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.948Z""}"
Krannich Solar;1762038;1762038;AXIstorage Li SV3 24.3;Kompletní baterie 25,60 kWh;Baterie;AXITEC;111663.74;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV3-24.3/1762038;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""111 663,74 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""24.30""},""image_url"":""https://cdn.shop.krannich-solar.com/media/8d/e7/49/1773847537/1762038_b_a_c_1_bac1888c6900c8dc30cd7d0613b68a02f046db15_det_sb_ac_axistorage_li_sv3_24.3.png.png?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.948Z""}"
Krannich Solar;1762039;1762039;AXIstorage Li SV3 29.1;Kompletní baterie 30,72 kWh;Baterie;AXITEC;131720.43;21;ks;https://shop.krannich-solar.com/cs-cz/AXIstorage-Li-SV3-29.1/1762039;0 ks na skladě, možné naskladnění: 22.07.2026;"{""categories"":[""Baterie""],""price_raw"":""131 720,43 Kč*"",""price_per_wp_raw"":"""",""price_per_wp_czk_without_vat"":null,""properties"":{""Využitelná kapacita (kWh)"":""29.10""},""image_url"":""https://cdn.shop.krannich-solar.com/media/32/59/91/1773847537/1762039_a_4_e_a_a4ea097c8c25073de80ac9c76f1f2d8cc3f87bb4_det_sb_ac_axistorage_li_sv3_29.1.png.png?width=3000"",""has_quantity_discount"":false,""scraped_at"":""2026-07-04T09:59:07.948Z""}"
